0.049507,0.353277,0.883685,-0.019552,-0.023383,-0.703341,0.710199,0.264610,0.116720,0.431812,-0.011548,-0.138673,-0.066617,0.075877,-0.071786,-0.215780,0.202460,-0.198067,0.010168,0.030094,0.024974,0.024212,0.143704,0.226583,-0.328012,1.150951,-0.001891,-0.001455,-0.010433,0.046912,-0.218102,0.453789,1.169663,0.005905,-0.000564,0.032176
0.049384,0.348934,0.883174,-0.021700,-0.024069,-0.703913,0.709546,0.283312,0.119277,0.447994,-0.024807,-0.131315,-0.076095,0.088507,-0.068755,-0.216500,0.198222,-0.202756,0.011564,0.030787,0.026232,0.022540,0.140380,0.223849,-0.283633,1.176314,-0.004528,-0.001387,-0.026295,0.054602,-0.217156,0.450486,1.170674,0.006110,-0.000687,0.033221
0.049260,0.344592,0.882664,-0.023848,-0.024754,-0.704481,0.708890,0.302013,0.121834,0.464176,-0.038066,-0.123958,-0.085573,0.101138,-0.065723,-0.217220,0.193983,-0.207444,0.012960,0.031479,0.027490,0.020868,0.137056,0.221115,-0.239254,1.201677,-0.007166,-0.001320,-0.042158,0.062291,-0.216210,0.447183,1.171686,0.006314,-0.000810,0.034265
0.048525,0.339990,0.882018,-0.026088,-0.025644,-0.704407,0.708853,0.319328,0.126235,0.481537,-0.047576,-0.118111,-0.096413,0.114677,-0.062384,-0.220216,0.190670,-0.213538,0.013811,0.029941,0.027841,0.019492,0.134060,0.217909,-0.196638,1.229104,-0.007998,-0.001311,-0.051343,0.069935,-0.214071,0.440261,1.172544,0.006431,-0.000843,0.034848
0.047789,0.335388,0.881372,-0.028329,-0.026534,-0.704329,0.708811,0.336642,0.130636,0.498898,-0.057085,-0.112263,-0.107253,0.128217,-0.059045,-0.223211,0.187357,-0.219632,0.014663,0.028402,0.028193,0.018116,0.131065,0.214702,-0.154022,1.256530,-0.008831,-0.001302,-0.060528,0.077578,-0.211933,0.433340,1.173403,0.006548,-0.000877,0.035431
0.046573,0.331957,0.881190,-0.029263,-0.026534,-0.703950,0.709150,0.345117,0.132960,0.510880,-0.061915,-0.109998,-0.112894,0.136528,-0.055719,-0.226840,0.183733,-0.223131,0.014915,0.025686,0.027740,0.014895,0.130665,0.212040,-0.127835,1.274290,-0.008536,0.000104,-0.061873,0.083144,-0.209355,0.424942,1.173748,0.006526,-0.000962,0.035150
0.045357,0.328526,0.881008,-0.030198,-0.026534,-0.703570,0.709488,0.353592,0.135285,0.522863,-0.066746,-0.107733,-0.118536,0.144839,-0.052393,-0.230469,0.180109,-0.226631,0.015167,0.022970,0.027288,0.011674,0.130266,0.209379,-0.101648,1.292051,-0.008242,0.001510,-0.063219,0.088710,-0.206777,0.416545,1.174094,0.006505,-0.001047,0.034870
0.044661,0.327026,0.880940,-0.031625,-0.027508,-0.703372,0.709585,0.361612,0.135919,0.531196,-0.071198,-0.106416,-0.121136,0.153131,-0.050354,-0.232249,0.175513,-0.227171,0.016185,0.021180,0.026799,0.012166,0.131837,0.208078,-0.089765,1.301745,-0.007896,0.000427,-0.062849,0.091678,-0.204577,0.408757,1.173808,0.006349,-0.001021,0.033966
0.043965,0.325527,0.880872,-0.033053,-0.028481,-0.703173,0.709679,0.369631,0.136553,0.539529,-0.075651,-0.105098,-0.123735,0.161423,-0.048314,-0.234028,0.170918,-0.227711,0.017203,0.019390,0.026310,0.012657,0.133409,0.206777,-0.077883,1.311439,-0.007550,-0.000657,-0.062479,0.094646,-0.202376,0.400969,1.173523,0.006194,-0.000995,0.033062
0.043827,0.325473,0.880931,-0.033969,-0.029421,-0.702725,0.710040,0.373143,0.136293,0.541712,-0.077372,-0.103368,-0.123089,0.166010,-0.047991,-0.235353,0.168257,-0.226907,0.018216,0.017406,0.025956,0.013444,0.136760,0.207027,-0.075762,1.312701,-0.007555,-0.001282,-0.062841,0.094818,-0.200906,0.393204,1.173962,0.006128,-0.000939,0.032727
